word,frequency,rank
"sedan",32163,675
"svar",32115,676
"säkert",32092,677
"omkring",32029,678
"jorden",31952,679
"fundet",31910,680
"visa",31772,681
"arbejder",31666,682
"därför",31664,683
"seks",31532,684
"fant",31333,685
"säker",31286,686
"lämna",31239,687
"vornår",31220,688
"genom",31199,689
"börjar",31189,690
"vägen",31178,691
"handler",30902,692
"bo",30900,693
"dum",30891,694
"person",30872,695
"dårlig",30871,696
"son",30868,697
"datter",30835,698
"frank",30827,699
"härifrån",30818,700
"holdt",30701,701
"kaffe",30673,702
"land",30607,703
"rigtig",30586,704
"hålla",30453,705
"længere",30354,706
"vänner",30246,707
"hittade",30230,708
"agent",30190,709
"annat",30164,710
"mrs",30093,711
"york",30009,712
"spiller",29988,713
"stoppe",29987,714
"vei",29933,715
"mat",29909,716
"borte",29894,717
"blitt",29848,718
"familien",29784,719
"hoppas",29486,720
"nytt",29397,721
"sina",29385,722
"hörde",29370,723
"vilket",29354,724
"kolla",29338,725
"ihop",29319,726
"minns",29306,727
"glem",29283,728
"rädd",29275,729
"dræbe",29216,730
"finner",29163,731
"hinanden",29159,732
"skjedde",29067,733
"rigtigt",29064,734
"slutt",28973,735
"fejl",28808,736
"passer",28807,737
"sista",28790,738
"charlie",28698,739
"faren",28670,740
"spille",28545,741
"era",28525,742
"penger",28509,743
"landet",28399,744
"unge",28333,745
"drepe",28323,746
"kunna",28287,747
"håber",28250,748
"krig",28225,749
"middag",28193,750
"sket",28191,751
"kvinde",28190,752
"nästa",27989,753
"herre",27873,754
"lov",27806,755
"nya",27790,756
"idag",27773,757
"jaså",27770,758
"roligt",27751,759
"måneder",27683,760
"like",27596,761
"saken",27559,762
"slog",27547,763
"hey",27535,764
"tænkte",27528,765
"hånd",27496,766
"helvede",27335,767
"skrev",27326,768
"fortæl",27276,769
"redd",27271,770
"människor",27271,771
"råd",27252,772
"ung",27240,773
"kul",27231,774
"eget",27082,775
"hurtigt",27058,776
"forbi",27021,777
"døren",27016,778
"beste",27015,779
"ga",26998,780
"vis",26976,781
"valg",26932,782
"dö",26849,783
"kører",26838,784
"historie",26836,785
"riktigt",26819,786
"klarar",26781,787
"spørgsmål",26755,788
"david",26734,789
"time",26711,790
"prøv",26673,791
"våre",26664,792
"höra",26650,793
"vore",26593,794
"live",26584,795
"tills",26554,796
"næsten",26506,797
"tatt",26443,798
"bliv",26405,799
"stod",26360,800
"tidligere",26348,801
"tänk",26344,802
"joe",26315,803
"lyssna",26288,804
"pas",26278,805
"sandt",26260,806
"venn",26147,807
"michael",26123,808
"polisen",26097,809
"gået",26096,810
"annet",26061,811
"hemma",25911,812
"mike",25893,813
"hente",25870,814
"damer",25811,815
"världen",25778,816
"faktiskt",25772,817
"indtil",25734,818
"lære",25697,819
"lover",25666,820
"veien",25624,821
"skit",25547,822
"fortelle",25541,823
"inden",25494,824
"foran",25439,825
"hellere",25391,826
"problemet",25358,827
"ligner",25339,828
"oppe",25259,829
"fly",25236,830
"tja",25206,831
"minuter",25198,832
"full",25192,833
"ske",25172,834
"mistet",25160,835
"imod",25157,836
"ondt",25117,837
"familj",25076,838
"runt",25058,839
"blivit",25035,840
"lort",24992,841
"herr",24952,842
"rum",24928,843
"satt",24892,844
"tænker",24889,845
"hr",24830,846
"sover",24802,847
"george",24785,848
"søster",24781,849
"lkke",24701,850
"barnet",24671,851
"skriver",24655,852
"pa",24644,853
"telefonen",24597,854
"snakket",24582,855
"peter",24577,856
"väntar",24574,857
"sit",24502,858
"pis",24443,859
"nede",24427,860
"hund",24419,861
"fest",24403,862
"telefon",24390,863
"gjennom",24383,864
"pokker",24266,865
"enkelt",24239,866
"vejen",24221,867
"betyr",24211,868
"film",24194,869
"sød",24181,870
"job",24155,871
"dreng",24150,872
"tala",24087,873
"al",23998,874
"usa",23980,875
"lei",23918,876
"illa",23890,877
"fortsatt",23860,878
"sjovt",23821,879
"forstå",23808,880
"män",23798,881
"försökte",23793,882
"riktig",23762,883
"sæt",23761,884
"dödade",23757,885
"neste",23756,886
"annars",23750,887
"nästan",23732,888
"foregår",23730,889
"ensam",23666,890
"inde",23618,891
"chef",23535,892
"bag",23483,893
"fortalt",23461,894
"aner",23437,895
"hatt",23420,896
"antar",23359,897
"viser",23332,898
"lenger",23273,899
"fyren",23238,900
"annen",23202,901
"lader",23181,902
"fbi",23166,903
"masse",23119,904
"lika",23090,905
"køre",23088,906
"nogensinde",23075,907
"lägg",23072,908
"james",23062,909
"gjerne",23037,910
