word,frequency,rank
"passer",7286,576
"hendene",7273,577
"blod",7228,578
"vis",7207,579
"perfekt",7197,580
"kjente",7145,581
"sint",7142,582
"lære",7137,583
"rart",7109,584
"verre",7086,585
"dritt",7082,586
"sove",7057,587
"betale",7046,588
"svar",7030,589
"svært",7023,590
"sam",7009,591
"frank",7001,592
"gift",6998,593
"gjelder",6996,594
"ventet",6973,595
"sendte",6962,596
"finn",6960,597
"lager",6946,598
"altså",6945,599
"fengsel",6936,600
"sist",6914,601
"unge",6900,602
"likevel",6891,603
"ille",6885,604
"uker",6879,605
"fortsett",6854,606
"viser",6840,607
"stoppe",6833,608
"klarte",6822,609
"hånd",6812,610
"forteller",6811,611
"kjærlighet",6781,612
"aner",6774,613
"slutte",6765,614
"lov",6761,615
"nær",6751,616
"morsomt",6668,617
"dr",6642,618
"elsket",6629,619
"sender",6618,620
"hardt",6610,621
"lykke",6608,622
"sitte",6583,623
"middag",6574,624
"historie",6555,625
"skrive",6549,626
"beskytte",6540,627
"lyst",6499,628
"dum",6482,629
"fare",6479,630
"spiser",6462,631
"sak",6455,632
"forstå",6454,633
"reise",6446,634
"slo",6428,635
"leter",6427,636
"sex",6412,637
"måten",6402,638
"likte",6401,639
"millioner",6393,640
"damer",6373,641
"jenter",6364,642
"kjør",6349,643
"fall",6308,644
"spurte",6300,645
"fortalt",6295,646
"synd",6255,647
"skikkelig",6238,648
"frem",6232,649
"reddet",6220,650
"idiot",6208,651
"brukte",6206,652
"herrer",6184,653
"york",6162,654
"trengte",6162,655
"små",6160,656
"følge",6152,657
"følger",6143,658
"kaffe",6140,659
"sende",6112,660
"pris",6106,661
"problemet",6096,662
"vakker",6092,663
"foregår",6085,664
"syk",6070,665
"skyte",6056,666
"live",6043,667
"barnet",6041,668
"prate",6032,669
"farlig",6014,670
"bruk",6008,671
"lot",5988,672
"bo",5983,673
"drikke",5983,674
"svarte",5982,675
"gratulerer",5980,676
"land",5974,677
"større",5955,678
"flink",5954,679
"gifte",5929,680
"rette",5921,681
"legger",5897,682
"fortsette",5868,683
"avtale",5864,684
"nummer",5823,685
"slipper",5821,686
"datteren",5805,687
"kvelden",5801,688
"lese",5789,689
"henter",5782,690
"døra",5766,691
"lurer",5763,692
"slår",5754,693
"jaså",5752,694
"gøy",5730,695
"bekymret",5718,696
"ofte",5716,697
"herre",5709,698
"endelig",5653,699
"ansiktet",5650,700
"masse",5649,701
"hjertet",5628,702
"charlie",5621,703
"foreldrene",5605,704
"døren",5595,705
"kun",5589,706
"sto",5580,707
"betaler",5572,708
"ung",5569,709
"skjøt",5561,710
"datter",5558,711
"egne",5551,712
"skade",5544,713
"absolutt",5536,714
"traff",5520,715
"enkelt",5519,716
"hent",5515,717
"klokka",5496,718
"slippe",5495,719
"forklare",5489,720
"stole",5482,721
"skutt",5458,722
"venstre",5455,723
"råd",5454,724
"kontakt",5450,725
"krig",5447,726
"annerledes",5437,727
"verdt",5430,728
"skrev",5428,729
"krigen",5409,730
"eget",5407,731
"stikke",5400,732
"antar",5376,733
"ben",5366,734
"vant",5337,735
"stikker",5317,736
"hvite",5315,737
"høyre",5310,738
"historien",5303,739
"david",5290,740
"michael",5290,741
"beskjed",5289,742
"husk",5289,743
"tjeneste",5280,744
"føle",5274,745
"lå",5254,746
"høyt",5241,747
"største",5236,748
"kort",5216,749
"kastet",5215,750
"slåss",5170,751
"vinner",5158,752
"sjefen",5148,753
"natten",5145,754
"skadet",5139,755
"skyt",5128,756
"rør",5124,757
"spill",5123,758
"sjef",5109,759
"født",5104,760
"særlig",5100,761
"kompis",5079,762
"kontoret",5055,763
"sjekke",5050,764
"huske",5035,765
"glemte",5031,766
"umulig",5030,767
