word,frequency,rank
"råd",11630,740
"dålig",11608,741
"sticker",11591,742
"må",11583,743
"funkar",11577,744
"tvungen",11477,745
"skriver",11428,746
"krig",11425,747
"joe",11424,748
"egna",11420,749
"huvud",11410,750
"händerna",11395,751
"smart",11349,752
"herrar",11335,753
"usa",11332,754
"spring",11329,755
"george",11294,756
"timme",11234,757
"fortsätter",11202,758
"samtal",11200,759
"ansikte",11191,760
"beklagar",11173,761
"jävel",11152,762
"ställa",11130,763
"allvar",11106,764
"kvällen",11098,765
"svar",11075,766
"telefon",11046,767
"slåss",11042,768
"rummet",11040,769
"menade",11000,770
"särskilt",10917,771
"doktorn",10905,772
"läkare",10901,773
"finnas",10877,774
"landet",10854,775
"ljuger",10822,776
"barnet",10798,777
"fixar",10796,778
"största",10790,779
"förr",10776,780
"nånting",10764,781
"tv",10732,782
"mike",10708,783
"vinna",10699,784
"glömde",10692,785
"människa",10692,786
"körde",10672,787
"staden",10655,788
"herre",10639,789
"satte",10623,790
"veckan",10598,791
"lyssnar",10591,792
"sover",10584,793
"fantastiskt",10568,794
"chef",10559,795
"trots",10547,796
"kvinnan",10541,797
"omkring",10519,798
"fängelse",10422,799
"flickan",10414,800
"förlorade",10368,801
"michael",10346,802
"räddade",10329,803
"köpte",10327,804
"trevlig",10323,805
"värld",10314,806
"berättat",10311,807
"information",10304,808
"passar",10299,809
"stark",10283,810
"fri",10269,811
"problemet",10204,812
"hund",10203,813
"nånstans",10194,814
"andas",10192,815
"skaffa",10178,816
"förlora",10160,817
"behövs",10132,818
"skickar",10084,819
"rätta",10045,820
"allvarligt",10009,821
"röra",10000,822
"uppfattat",9995,823
"kallas",9994,824
"kroppen",9977,825
"kriget",9961,826
"max",9961,827
"peter",9948,828
"träffat",9940,829
"kläder",9933,830
"släppa",9927,831
"fart",9895,832
"advokat",9891,833
"istället",9869,834
"rakt",9855,835
"frågan",9836,836
"allting",9831,837
"ned",9818,838
"hel",9798,839
"skjuter",9760,840
"skiten",9738,841
"gett",9737,842
"sjukhuset",9735,843
"skjut",9734,844
"fred",9728,845
"vita",9725,846
"lnte",9719,847
"fbi",9718,848
"litar",9711,849
"sälja",9698,850
"dan",9695,851
"gillade",9692,852
"svart",9662,853
"bär",9658,854
"sättet",9655,855
"lycklig",9650,856
"intressant",9647,857
"förutom",9625,858
"pratat",9601,859
"tjejer",9590,860
"naturligtvis",9582,861
"kollar",9560,862
"nyheter",9555,863
"personer",9551,864
"tjejen",9513,865
"jösses",9507,866
"sekunder",9472,867
"levande",9463,868
"arbetar",9448,869
"guds",9447,870
"vinner",9430,871
"pågår",9408,872
"försiktig",9397,873
"planet",9342,874
"vattnet",9338,875
"stolt",9321,876
"fallet",9318,877
"tacka",9304,878
"mördare",9300,879
"döden",9297,880
"meddelande",9296,881
"javisst",9289,882
"beslut",9287,883
"förtjänar",9281,884
"james",9277,885
"kontor",9240,886
"flesta",9211,887
"raring",9207,888
"anledning",9203,889
"mark",9202,890
"bland",9188,891
"vänster",9172,892
"litet",9167,893
"pojken",9152,894
"tidigt",9149,895
"skojar",9146,896
"vakna",9138,897
"film",9113,898
"plötsligt",9077,899
"jättebra",9076,900
"snygg",9061,901
"knappt",9040,902
"slutet",9008,903
"hår",9008,904
"försvann",8998,905
"fest",8992,906
"möte",8966,907
"riktiga",8954,908
"eld",8933,909
"skål",8933,910
"försökt",8925,911
"lärde",8910,912
"nio",8900,913
"affärer",8897,914
"hjälpte",8887,915
"ers",8874,916
"snackar",8868,917
"underbart",8867,918
"känt",8858,919
"tredje",8854,920
