word,frequency,rank
"spiser",9754,680
"følge",9715,681
"følger",9685,682
"goddag",9681,683
"hund",9636,684
"herrer",9629,685
"vinder",9628,686
"godeste",9623,687
"træk",9616,688
"anderledes",9550,689
"kamp",9550,690
"uanset",9525,691
"blot",9522,692
"gider",9507,693
"sendte",9506,694
"drikke",9473,695
"travlt",9472,696
"charlie",9467,697
"vild",9460,698
"afsted",9452,699
"fest",9440,700
"tillykke",9432,701
"venstre",9382,702
"passe",9335,703
"betaler",9314,704
"læse",9294,705
"kør",9291,706
"dollar",9272,707
"skød",9268,708
"brugte",9250,709
"vred",9241,710
"stole",9200,711
"skole",9195,712
"joe",9193,713
"mike",9185,714
"højt",9184,715
"højre",9179,716
"bekymret",9164,717
"michael",9141,718
"tjeneste",9116,719
"tja",9104,720
"hertil",9078,721
"utroligt",9076,722
"straks",9064,723
"onkel",9063,724
"råd",9048,725
"kørte",9044,726
"telefon",9037,727
"skudt",9034,728
"fru",9031,729
"knægt",9016,730
"største",9016,731
"løbe",8990,732
"otte",8965,733
"skolen",8952,734
"sende",8945,735
"hår",8944,736
"forklare",8912,737
"dejligt",8881,738
"kontor",8858,739
"sendt",8844,740
"javel",8826,741
"eget",8805,742
"vejret",8740,743
"tingene",8720,744
"fbi",8719,745
"damer",8708,746
"pigen",8680,747
"ung",8633,748
"billede",8631,749
"lede",8622,750
"pistol",8606,751
"peter",8603,752
"david",8594,753
"børnene",8592,754
"mord",8546,755
"menneske",8534,756
"fandens",8532,757
"spor",8521,758
"normalt",8520,759
"dele",8517,760
"ende",8511,761
"bog",8499,762
"mødte",8479,763
"hvide",8469,764
"mødt",8460,765
"kigger",8421,766
"vinde",8412,767
"doktor",8404,768
"mistet",8398,769
"dyr",8363,770
"indenfor",8363,771
"sover",8342,772
"stopper",8336,773
"glemt",8331,774
"læge",8330,775
"skyder",8327,776
"bord",8289,777
"fyren",8285,778
"bedst",8270,779
"røv",8270,780
"elske",8268,781
"faldt",8268,782
"lys",8202,783
"slemt",8200,784
"lyver",8198,785
"george",8186,786
"begynde",8186,787
"ha",8169,788
"betjent",8143,789
"slået",8133,790
"sikre",8127,791
"forlade",8097,792
"advokat",8096,793
"beviser",8072,794
"aftes",8046,795
"fanget",7998,796
"telefonen",7956,797
"lærer",7955,798
"baby",7954,799
"kendt",7948,800
"dumme",7947,801
"overhovedet",7947,802
"sort",7944,803
"ene",7925,804
"usa",7911,805
"kalde",7906,806
"middag",7902,807
"herinde",7896,808
"forsøger",7885,809
"james",7880,810
"sekunder",7878,811
"født",7875,812
"skrev",7874,813
"kig",7857,814
"skriver",7840,815
"hænderne",7836,816
"selvom",7814,817
"nemlig",7798,818
"mistede",7793,819
"landet",7765,820
"arbejdede",7761,821
"tidspunkt",7760,822
"smukt",7753,823
"falder",7735,824
"flytte",7730,825
"hent",7729,826
"problemet",7725,827
"underligt",7716,828
"skylder",7697,829
"egne",7696,830
"brugt",7688,831
"oh",7680,832
"sad",7678,833
"smukke",7669,834
"fly",7659,835
"fare",7651,836
"rejser",7645,837
"umuligt",7632,838
"ide",7613,839
"vildt",7609,840
"prøvet",7598,841
"slippe",7594,842
"fuck",7592,843
"hospitalet",7588,844
"skyd",7583,845
"kende",7582,846
"tidligt",7555,847
"dame",7534,848
"skør",7499,849
"stolt",7492,850
"løber",7486,851
"fars",7484,852
"sat",7481,853
"lægge",7464,854
"rent",7457,855
"føle",7443,856
"enhver",7438,857
"netop",7430,858
"mund",7419,859
"makker",7418,860
"døden",7415,861
"drink",7410,862
"pokker",7409,863
"billeder",7408,864
"pris",7397,865
"alting",7392,866
"sælge",7389,867
"fange",7382,868
"reddede",7340,869
"vandet",7323,870
"stemme",7298,871
"kigge",7287,872
"tør",7285,873
"savner",7263,874
"sorte",7254,875
"løgn",7236,876
"gave",7236,877
"krop",7225,878
"kontakt",7221,879
"ringet",7197,880
"fortsæt",7169,881
"sur",7156,882
"stoler",7154,883
"forsigtig",7142,884
"fleste",7140,885
"sid",7138,886
"starte",7136,887
"ordne",7124,888
"præsident",7123,889
"glemme",7114,890
"stærk",7102,891
"rør",7088,892
"miste",7064,893
"sang",7059,894
"stil",7058,895
"glemte",7056,896
"pænt",7045,897
"gutter",7025,898
"halv",7021,899
"naturligvis",6996,900
"færdige",6981,901
"mrs",6981,902
"angreb",6953,903
"lægger",6937,904
"lkke",6937,905
"smule",6934,906
"ender",6933,907
"forkerte",6922,908
"fin",6913,909
"skidt",6901,910
"tony",6889,911
"lukket",6882,912
"pa",6878,913
"pludselig",6872,914
"hav",6869,915
"drøm",6862,916
"ryger",6831,917
"barnet",6816,918
"skål",6815,919
"stjal",6799,920
"syntes",6797,921
"følg",6795,922
"mary",6782,923
"midt",6774,924
"sulten",6766,925
"vender",6752,926
"følelser",6748,927
"hjalp",6745,928
"bestemt",6736,929
"direkte",6719,930
"fortjener",6714,931
"starter",6712,932
"både",6705,933
"virkede",6691,934
"interessant",6687,935
"lejlighed",6684,936
"røvhul",6676,937
"vende",6666,938
"guds",6660,939
"henry",6657,940
"undskylde",6655,941
"overalt",6654,942
"paul",6653,943
"oberst",6636,944
"lært",6624,945
"derovre",6594,946
"styr",6584,947
"masser",6581,948
"historien",6579,949
"nick",6564,950
"frue",6550,951
"tv",6549,952
"heldig",6538,953
"max",6530,954
"stykker",6522,955
"fører",6520,956
"køber",6500,957
"egentlig",6498,958
"sarah",6498,959
"mister",6490,960
"mål",6488,961
"kræver",6479,962
"ro",6476,963
"blå",6454,964
"jimmy",6443,965
"købte",6434,966
"sælger",6429,967
